stv	HG02630.mat.cen12	HG02723.mat.cen12	HG03486.mat.cen12
S1C12H1L.1-8	2032.0	2272.0	2205.0
S1C12H1L.1_4-8	36.0	54.0	51.0
S1C12H1L.1-3_8	37.0	46.0	45.0
S1C12H1L.1-3_2-8	20.0	24.0	22.0
S1C12H1L.5-8	21.0	23.0	20.0
S1C12H1L.1_8	19.0	19.0	19.0
S1C12H1L.1-7_2-8	16.0	17.0	13.0
S1C12H1L.3-8	15.0	13.0	15.0
S1C12H1L.1-6_5-8	11.0	8.0	13.0
S1C12H1L.1-2	5.0	15.0	9.0
S1C12H1L.1_6-8	7.0	10.0	8.0
S1C12H1L.1-5_8	6.0	9.0	10.0
S1C12H1L.1-7_6-8	8.0	8.0	6.0
S1C12H1L.7	5.0	6.0	5.0
S1C12H1L.6-8	5.0	6.0	3.0
S1C12H1L.1_4-7_2-8	3.0	4.0	6.0
S1C12H1L.2-8	4.0	3.0	4.0
S1C12H1L.1-4	3.0	4.0	1.0
S1C12H1L.1-7_4-8	3.0	3.0	2.0
S1C12H1L.1-4_7-8	3.0	2.0	2.0
S1C12H1L.1_4-5_8	2.0	3.0	2.0
S1C12H1L.1-5_2-8	2.0	3.0	2.0
S1C12H1L.1-6	1.0	2.0	3.0
S1C12H1L.1-4_6-8	2.0	2.0	2.0
S1C12H1L.1	2.0	2.0	2.0
S1C12H1L.1-2_7-8	3.0	1.0	2.0
S1C12H1L.1_4-7_4-8	2.0	2.0	2.0
S1C12H1L.1-5_4-8	2.0	1.0	2.0
S1C12H1L.1-5_4	2.0	1.0	2.0
S1C12H1L.1-7_2-7_2-8	1.0	1.0	2.0
S1C12H1L.1-7_4-7_2-7_2-8	1.0	1.0	2.0
S1C12H1L.1-6_6-8	1.0	2.0	1.0
S1C12H1L.6	1.0	1.0	1.0
S1C12H1L.4_7-8	1.0	1.0	1.0
S1C12H1L.7-8	1.0	1.0	1.0
S1C12H1L.3_8	1.0	1.0	1.0
S1C12H1L.7_6-8	1.0	1.0	1.0
S1C12H1L.5-6_5-8	1.0	1.0	1.0
S1C12H1L.1-7_4	1.0	1.0	1.0
S1C12H1L.5-7_6-8	1.0	1.0	1.0
S1C12H1L.5-6	1.0	1.0	0.0
S1C12H1L.8	0.0	2.0	0.0
S1C12H1L.3-6	0.0	2.0	0.0
